fulfilment,saleschannel,shipservicelevel,category,size,qty,amount,shipcity,shipstate,b2b,Purchased_day,Purchased_month,rejected,Price_Pred
Merchant,Amazon.in,Standard,kurta,M,1,399.0,BENGALURU,KARNATAKA,False,30,4,not rejected,665.0
Merchant,Amazon.in,Standard,Top,L,1,387.0,VASAI VIRAR,MAHARASHTRA,False,30,4,not rejected,557.19
Merchant,Amazon.in,Standard,Top,L,0,463.81,BENGALURU,KARNATAKA,False,30,4,rejected,557.1
Amazon,Amazon.in,Expedited,Set,M,1,626.0,BENGALURU,KARNATAKA,False,30,4,rejected,719.635
Merchant,Amazon.in,Standard,Set,XL,1,583.0,NEW TOWN,WEST BENGAL,False,30,4,not rejected,702.8383333333335
Amazon,Amazon.in,Expedited,Set,M,1,597.0,KALYAN,MAHARASHTRA,False,30,4,rejected,735.16
Amazon,Amazon.in,Expedited,Set,XXL,1,654.0,MYSURU,KARNATAKA,False,30,4,rejected,775.62
Merchant,Amazon.in,Standard,Western Dress,M,1,744.0,Chennai,TAMIL NADU,False,30,4,not rejected,820.83
Merchant,Amazon.in,Standard,kurta,S,1,497.0,NEW DELHI,DELHI,False,30,4,not rejected,878.63
Amazon,Amazon.in,Expedited,Top,M,0,665.1355519636998,JAMMU,JAMMU & KASHMIR,False,30,4,rejected,477.78
Merchant,Amazon.in,Standard,kurta,XXL,1,665.1355519636998,BHUBANESWAR,ODISHA,False,30,4,not rejected,390.27
Amazon,Amazon.in,Expedited,Western Dress,XL,0,665.1355519636998,GHAZIABAD,UTTAR PRADESH,False,30,4,rejected,423.14
Merchant,Amazon.in,Standard,Top,XS,1,399.0,PUNE,MAHARASHTRA,False,30,4,not rejected,607.1
Merchant,Amazon.in,Standard,Western Dress,M,1,725.0,GAYA,BIHAR,False,30,4,not rejected,733.33
Merchant,Amazon.in,Standard,Set,L,1,999.0,BENGALURU,KARNATAKA,False,30,4,not rejected,445.702
Merchant,Amazon.in,Standard,kurta,M,1,295.0,BENGALURU,KARNATAKA,False,30,4,not rejected,562.91
Amazon,Amazon.in,Expedited,Top,S,0,665.1355519636998,KARANJA,MAHARASHTRA,False,30,4,rejected,726.18
Merchant,Amazon.in,Standard,Set,XS,1,1115.0,COOCH BEHAR,WEST BENGAL,False,30,4,rejected,787.2
Merchant,Amazon.in,Standard,Set,S,1,499.0,PUNE,MAHARASHTRA,False,30,4,not rejected,460.22
Merchant,Amazon.in,Standard,Western Dress,M,1,791.0,DEHRADUN,UTTARAKHAND,False,30,4,not rejected,665.0
Amazon,Amazon.in,Expedited,kurta,M,0,665.1355519636998,BENGALURU,KARNATAKA,False,30,4,rejected,728.85
Merchant,Amazon.in,Standard,kurta,M,0,665.1355519636998,BENGALURU,KARNATAKA,False,30,4,rejected,461.385
Merchant,Amazon.in,Standard,kurta,XL,1,533.0,Secunderabad,TELANGANA,False,30,4,not rejected,671.19
Merchant,Amazon.in,Standard,Set,3XL,1,563.0,NAGPUR,MAHARASHTRA,False,30,4,not rejected,665.0
Merchant,Amazon.in,Standard,kurta,XXL,1,458.0,BERHAMPORE,WEST BENGAL,False,30,4,not rejected,448.1
Merchant,Amazon.in,Standard,Set,XXL,1,1099.0,MUMBAI,MAHARASHTRA,False,30,4,not rejected,861.174
Merchant,Amazon.in,Standard,Set,S,0,995.54,BENGALURU,KARNATAKA,False,30,4,rejected,457.41
Amazon,Amazon.in,Expedited,Set,XL,0,665.1355519636998,PATNA,BIHAR,False,30,4,rejected,473.7766666666667
Merchant,Amazon.in,Standard,kurta,M,1,459.0,LUCKNOW,UTTAR PRADESH,False,30,4,not rejected,496.82
Amazon,Amazon.in,Expedited,Set,XS,1,597.0,BENGALURU,KARNATAKA,False,30,4,rejected,673.24
Merchant,Amazon.in,Standard,Top,XL,1,339.0,HYDERABAD,TELANGANA,False,30,4,not rejected,776.26
Merchant,Amazon.in,Standard,Set,XL,1,888.0,BARUIPUR,WEST BENGAL,False,30,4,not rejected,472.58
Merchant,Amazon.in,Standard,kurta,3XL,1,487.0,KENDRAPARA,ODISHA,False,30,4,not rejected,427.1
Amazon,Amazon.in,Expedited,Western Dress,M,1,744.0,SEONI,MADHYA PRADESH,False,30,4,rejected,665.0
Merchant,Amazon.in,Standard,kurta,3XL,1,487.0,BENGALURU,KARNATAKA,False,30,4,not rejected,665.0
Merchant,Amazon.in,Standard,Western Dress,3XL,1,825.0,BENGALURU,KARNATAKA,False,30,4,not rejected,665.0
Merchant,Amazon.in,Standard,kurta,3XL,1,471.0,CHANDI MANDIR,HARYANA,False,30,4,not rejected,497.3275
Merchant,Amazon.in,Standard,kurta,XXL,1,342.0,ujjain,MADHYA PRADESH,False,30,4,not rejected,448.9033333333333
Amazon,Amazon.in,Expedited,kurta,M,1,475.0,MAHESHWAR,MADHYA PRADESH,False,30,4,rejected,677.36
Merchant,Amazon.in,Standard,Western Dress,M,1,725.0,HYDERABAD,TELANGANA,False,30,4,not rejected,816.35
Merchant,Amazon.in,Standard,kurta,S,0,473.33,NEW DELHI,DELHI,False,30,4,rejected,616.6425
Amazon,Amazon.in,Expedited,Set,M,0,665.1355519636998,KAMAREDDY,TELANGANA,False,30,4,rejected,472.43
Merchant,Amazon.in,Standard,Set,M,1,759.0,SHILLONG,MEGHALAYA,False,30,4,not rejected,557.928
Amazon,Amazon.in,Expedited,kurta,M,1,475.0,DHAMNOD DHAR DISTRICT,MADHYA PRADESH,False,30,4,rejected,727.204
Amazon,Amazon.in,Expedited,Set,XXL,1,654.0,MYSURU,KARNATAKA,False,30,4,rejected,695.22
Amazon,Amazon.in,Expedited,Western Dress,XXL,1,791.0,BENGALURU,KARNATAKA,False,30,4,rejected,778.665
Merchant,Amazon.in,Standard,Western Dress,M,1,744.0,GURUGRAM,HARYANA,False,30,4,not rejected,407.186
Merchant,Amazon.in,Standard,kurta,L,1,459.0,ALLAHABAD,UTTAR PRADESH,False,30,4,not rejected,637.2223333333334
Amazon,Amazon.in,Expedited,Set,XXL,1,654.0,MYSURU,KARNATAKA,False,30,4,rejected,802.89
Amazon,Amazon.in,Expedited,Set,L,1,899.0,NOIDA,UTTAR PRADESH,False,30,4,rejected,659.46
Merchant,Amazon.in,Standard,kurta,3XL,1,471.0,trivandrum,KERALA,False,30,4,not rejected,763.88
Merchant,Amazon.in,Standard,kurta,XL,1,544.0,BENGALURU,KARNATAKA,False,30,4,not rejected,456.16599999999994
Amazon,Amazon.in,Expedited,Set,L,0,665.1355519636998,BAGESHWAR,UTTARAKHAND,False,30,4,rejected,444.5686666666667
Merchant,Amazon.in,Standard,Western Dress,M,1,665.1355519636998,NEW DELHI,DELHI,False,30,4,rejected,665.0
Merchant,Amazon.in,Standard,Western Dress,L,1,885.0,SIBSAGAR,ASSAM,False,30,4,not rejected,577.64
Merchant,Amazon.in,Standard,kurta,6XL,1,505.0,Pathanapuram,KERALA,False,30,4,not rejected,746.62
Merchant,Amazon.in,Standard,kurta,M,0,344.76,JAUNPUR,UTTAR PRADESH,False,30,4,rejected,728.0105714285714
Amazon,Amazon.in,Expedited,Set,3XL,0,665.1355519636998,SOLAPUR,MAHARASHTRA,False,30,4,rejected,676.32
Merchant,Amazon.in,Standard,kurta,XL,1,666.0,PUNE,MAHARASHTRA,False,30,4,not rejected,876.1840000000002
Merchant,Amazon.in,Standard,kurta,S,1,399.0,MAHBUBNAGAR,TELANGANA,False,30,4,not rejected,429.1
Merchant,Amazon.in,Standard,kurta,S,1,432.0,Nk sweets Vikasnagar,UTTARAKHAND,False,30,4,not rejected,461.5
Merchant,Amazon.in,Standard,Western Dress,XS,1,665.1355519636998,LUDHIANA,PUNJAB,False,30,4,not rejected,751.29
Merchant,Amazon.in,Standard,Western Dress,XXL,0,734.29,HYDERABAD,TELANGANA,False,30,4,rejected,728.39
Amazon,Amazon.in,Expedited,Western Dress,XL,0,665.1355519636998,"Chinchwad ,Pune",MAHARASHTRA,False,30,4,rejected,476.54
Merchant,Amazon.in,Standard,Western Dress,XS,1,725.0,HYDERABAD,TELANGANA,False,30,4,not rejected,665.0
Merchant,Amazon.in,Standard,kurta,XL,0,437.14,CHENNAI,TAMIL NADU,False,30,4,rejected,787.9133333333334
Amazon,Amazon.in,Expedited,Set,XXL,1,824.0,PUDUCHERRY,PUDUCHERRY,False,30,4,rejected,385.995
Merchant,Amazon.in,Standard,kurta,S,1,353.0,SHILLONG,MEGHALAYA,False,30,4,not rejected,408.46341666666666
Amazon,Amazon.in,Expedited,kurta,L,1,363.0,BENGALURU,KARNATAKA,False,30,4,rejected,747.5166666666665
Amazon,Amazon.in,Expedited,kurta,XL,0,665.1355519636998,AKOLA,MAHARASHTRA,False,30,4,rejected,725.085
Merchant,Amazon.in,Standard,kurta,S,1,568.0,RAMANAGARA,KARNATAKA,False,30,4,not rejected,732.2366666666667
Merchant,Amazon.in,Standard,kurta,S,1,568.0,RAMANAGARA,KARNATAKA,False,30,4,rejected,428.1433333333334
Merchant,Amazon.in,Standard,Set,XXL,0,570.48,MUMBAI,MAHARASHTRA,False,30,4,rejected,991.96
Merchant,Amazon.in,Standard,kurta,M,1,399.0,KHAMMAM,TELANGANA,False,30,4,not rejected,671.02
Merchant,Amazon.in,Standard,Set,XS,1,665.1355519636998,AURANGABAD,MAHARASHTRA,False,30,4,not rejected,817.56
Merchant,Amazon.in,Standard,Set,M,1,631.0,Pune,MAHARASHTRA,False,30,4,not rejected,665.0
Amazon,Amazon.in,Expedited,kurta,XS,0,665.1355519636998,VELLORE,TAMIL NADU,False,30,4,rejected,665.0
Merchant,Amazon.in,Standard,kurta,XL,1,399.0,noida,UTTAR PRADESH,False,30,4,not rejected,437.0
Amazon,Amazon.in,Expedited,kurta,XXL,0,665.1355519636998,THRIPPUNITHURA,KERALA,False,30,4,rejected,941.74
Merchant,Amazon.in,Standard,Top,L,1,599.0,GURUGRAM,HARYANA,False,30,4,rejected,422.728
Merchant,Amazon.in,Standard,Blouse,XL,1,329.0,LUDHIANA,PUNJAB,False,30,4,not rejected,706.865
Amazon,Amazon.in,Expedited,Set,XS,0,665.1355519636998,PALASBARI,ASSAM,False,30,4,rejected,678.0163333333334
Amazon,Amazon.in,Expedited,kurta,L,1,435.0,HYDERABAD,TELANGANA,False,30,4,rejected,765.6866666666667
Amazon,Amazon.in,Expedited,kurta,XL,1,399.0,Chikkaballapur,KARNATAKA,False,30,4,rejected,743.2989523809524
Merchant,Amazon.in,Standard,kurta,3XL,1,549.0,BENGALURU,KARNATAKA,False,30,4,not rejected,709.28
Merchant,Amazon.in,Standard,Set,L,1,599.0,HYDERABAD,TELANGANA,False,30,4,not rejected,430.51300000000003
Merchant,Amazon.in,Standard,kurta,XXL,1,533.0,HYDERABAD,TELANGANA,False,30,4,not rejected,530.65
Amazon,Amazon.in,Expedited,kurta,M,1,399.0,Mumbai,MAHARASHTRA,False,30,4,rejected,844.595
Amazon,Amazon.in,Expedited,kurta,3XL,0,665.1355519636998,MIRA ROAD,MAHARASHTRA,False,30,4,rejected,435.82666666666665
Merchant,Amazon.in,Standard,kurta,XXL,1,362.0,MUMBAI,MAHARASHTRA,False,30,4,not rejected,610.6133333333333
Merchant,Amazon.in,Standard,Set,3XL,1,563.0,KALYAN,MAHARASHTRA,False,30,4,not rejected,665.0
Amazon,Amazon.in,Expedited,Western Dress,XXL,0,665.1355519636998,Bhatgaon,CHHATTISGARH,False,30,4,rejected,907.1953333333332
Amazon,Amazon.in,Standard,kurta,S,0,665.1355519636998,GHAZIABAD,UTTAR PRADESH,False,30,4,rejected,772.32
Merchant,Amazon.in,Standard,Set,L,1,549.0,ALMORA,UTTARAKHAND,False,30,4,not rejected,572.97
Amazon,Amazon.in,Expedited,kurta,XL,0,665.1355519636998,SHRIGONDA,MAHARASHTRA,False,30,4,rejected,755.26
Merchant,Amazon.in,Standard,kurta,M,0,570.48,WARANGAL,TELANGANA,False,30,4,rejected,712.1183333333335
Merchant,Amazon.in,Standard,kurta,3XL,1,319.0,CHENNAI,TAMIL NADU,False,30,4,not rejected,510.31
Merchant,Amazon.in,Standard,Top,M,1,463.0,WARANGAL,TELANGANA,False,30,4,not rejected,814.7914999999999
Amazon,Amazon.in,Expedited,kurta,S,0,665.1355519636998,SAMBALPUR,ODISHA,False,30,4,rejected,749.415
Amazon,Amazon.in,Expedited,kurta,XXL,0,665.1355519636998,Vadodara,Gujarat,False,30,4,rejected,755.1
Merchant,Amazon.in,Standard,kurta,3XL,1,471.0,BENGALURU,KARNATAKA,False,30,4,not rejected,753.18
Amazon,Amazon.in,Expedited,Set,S,0,665.1355519636998,MANGALURU,KARNATAKA,False,30,4,rejected,539.38
Amazon,Amazon.in,Expedited,kurta,XXL,1,471.0,BENGALURU,KARNATAKA,False,30,4,rejected,436.51
Merchant,Amazon.in,Standard,kurta,XXL,0,386.67,BENGALURU,KARNATAKA,False,30,4,rejected,665.0
Merchant,Amazon.in,Standard,kurta,XXL,0,452.38,PATNA,BIHAR,False,30,4,rejected,665.0
Amazon,Amazon.in,Expedited,Set,L,0,665.1355519636998,MUMBAI,MAHARASHTRA,False,30,4,rejected,590.3909404761905
Amazon,Amazon.in,Expedited,Set,XXL,0,665.1355519636998,ROHTAK,HARYANA,False,30,4,rejected,795.13
Amazon,Amazon.in,Expedited,Western Dress,S,1,588.0,VISAKHAPATNAM,ANDHRA PRADESH,False,30,4,rejected,458.58
Merchant,Amazon.in,Standard,Top,L,1,625.0,PUNE,MAHARASHTRA,False,30,4,not rejected,732.285
Merchant,Amazon.in,Standard,Top,L,1,518.0,NEW DELHI,DELHI,False,30,4,not rejected,831.0225
Merchant,Amazon.in,Standard,kurta,3XL,0,665.1355519636998,SIKANDARABAD INDUSTRIAL AREA,UTTAR PRADESH,False,30,4,rejected,762.9331666666665
Merchant,Amazon.in,Standard,kurta,XXL,1,364.0,THANE,MAHARASHTRA,False,30,4,not rejected,433.3566666666666
Amazon,Amazon.in,Expedited,Western Dress,XXL,1,899.0,MYSURU,KARNATAKA,False,30,4,rejected,440.6702777777778
Amazon,Amazon.in,Expedited,Set,XXL,0,665.1355519636998,QADIAN,PUNJAB,False,30,4,rejected,785.98
Merchant,Amazon.in,Standard,Western Dress,S,1,825.0,Ahmedabad,Gujarat,False,30,4,not rejected,665.0
Merchant,Amazon.in,Standard,kurta,XS,1,568.0,Jhajjar,HARYANA,False,30,4,not rejected,665.0
Amazon,Amazon.in,Expedited,Set,XL,0,665.1355519636998,VASCO DA GAMA,GOA,False,30,4,rejected,459.775
Merchant,Amazon.in,Standard,Set,L,1,1099.0,Janipur,JAMMU & KASHMIR,False,30,4,not rejected,767.8560000000001
Amazon,Amazon.in,Expedited,Set,S,1,999.0,GHAZIABAD,UTTAR PRADESH,False,30,4,rejected,528.25
Amazon,Amazon.in,Expedited,Set,3XL,0,665.1355519636998,HYDERABAD,TELANGANA,False,30,4,rejected,509.44833333333327
Merchant,Amazon.in,Standard,Set,XXL,1,696.0,BASSEIN,MAHARASHTRA,False,30,4,not rejected,741.1325
Amazon,Amazon.in,Expedited,kurta,XS,1,329.0,VELLORE,TAMIL NADU,False,30,4,rejected,769.9216666666666
Amazon,Amazon.in,Expedited,kurta,XS,1,318.0,VELLORE,TAMIL NADU,False,30,4,rejected,470.9533333333334
Merchant,Amazon.in,Standard,kurta,XXL,1,499.0,AMBASAMUDRAM,TAMIL NADU,False,30,4,not rejected,588.0414285714286
Amazon,Amazon.in,Expedited,Set,L,1,597.0,Pathanamthitta,KERALA,False,30,4,rejected,640.24
Merchant,Amazon.in,Standard,kurta,XXL,1,562.0,BENGALURU,KARNATAKA,False,30,4,not rejected,487.38199999999995
Amazon,Amazon.in,Expedited,Set,M,1,1112.0,Benipur,BIHAR,False,30,4,rejected,837.7883333333334
Amazon,Amazon.in,Expedited,Set,XS,0,665.1355519636998,BOKARO STEEL CITY,JHARKHAND,False,30,4,rejected,705.0907857142857
Amazon,Amazon.in,Expedited,Set,L,0,665.1355519636998,GURUGRAM,HARYANA,False,30,4,rejected,525.6733333333333
Amazon,Amazon.in,Standard,kurta,XXL,0,665.1355519636998,THANE,MAHARASHTRA,False,30,4,rejected,665.0
Merchant,Amazon.in,Standard,kurta,3XL,0,358.1,COIMBATORE,TAMIL NADU,False,30,4,rejected,457.599
Amazon,Amazon.in,Expedited,Set,M,0,665.1355519636998,DARBHANGA,BIHAR,False,30,4,rejected,665.0
Merchant,Amazon.in,Standard,Top,XXL,1,518.0,MIHAN,MAHARASHTRA,True,30,4,not rejected,459.59
Merchant,Amazon.in,Standard,Set,M,1,759.0,NEW DELHI,DELHI,False,30,4,not rejected,554.74
Merchant,Amazon.in,Standard,Set,XS,1,888.0,NOIDA,UTTAR PRADESH,False,30,4,not rejected,444.81071428571425
Merchant,Amazon.in,Standard,kurta,3XL,1,363.0,BENGALURU,KARNATAKA,False,30,4,not rejected,843.67
Amazon,Amazon.in,Expedited,Set,M,0,665.1355519636998,REDHAKHOL,ODISHA,False,30,4,rejected,746.0203333333333
Merchant,Amazon.in,Standard,kurta,3XL,0,665.1355519636998,FARIDABAD,HARYANA,False,30,4,rejected,657.215
Merchant,Amazon.in,Standard,Set,3XL,1,788.0,SHILLONG,MEGHALAYA,False,30,4,not rejected,669.7426666666667
Amazon,Amazon.in,Expedited,Set,XXL,0,665.1355519636998,GURUGRAM,HARYANA,False,30,4,rejected,920.39
Merchant,Amazon.in,Standard,kurta,5XL,0,700.96,AHMEDABAD,Gujarat,False,30,4,rejected,437.85666666666674
Merchant,Amazon.in,Standard,Set,3XL,1,662.0,VIJAYAWADA,ANDHRA PRADESH,False,30,4,not rejected,730.245
Merchant,Amazon.in,Standard,kurta,S,1,316.0,DHARWAD,KARNATAKA,False,30,4,not rejected,734.09
Amazon,Amazon.in,Expedited,Top,L,0,665.1355519636998,BILASPUR,CHHATTISGARH,False,30,4,rejected,368.9633333333333
Merchant,Amazon.in,Standard,Set,XL,1,1099.0,HYDERABAD,TELANGANA,False,30,4,not rejected,553.6695000000001
Amazon,Amazon.in,Expedited,kurta,3XL,0,665.1355519636998,HYDERABAD,TELANGANA,False,30,4,rejected,442.00199999999995
Amazon,Amazon.in,Expedited,kurta,M,0,665.1355519636998,Kinnigoli,KARNATAKA,False,30,4,rejected,782.55
Amazon,Amazon.in,Expedited,Set,XXL,0,665.1355519636998,MIRZAPUR CUM VINDHYACHAL,UTTAR PRADESH,False,30,4,rejected,380.15
Merchant,Amazon.in,Standard,kurta,XL,1,329.0,NEW DELHI,DELHI,False,30,4,not rejected,790.2660000000001
Merchant,Amazon.in,Standard,kurta,S,0,280.95,PONNERI,TAMIL NADU,False,30,4,rejected,665.0
Amazon,Amazon.in,Expedited,kurta,S,1,283.0,PONNERI,TAMIL NADU,False,30,4,rejected,740.8660000000001
Merchant,Amazon.in,Standard,kurta,S,1,399.0,Deganga,WEST BENGAL,False,30,4,not rejected,453.11
Merchant,Amazon.in,Standard,Blouse,L,1,665.1355519636998,KARIMGANJ,ASSAM,False,30,4,not rejected,501.2123809523809
Merchant,Amazon.in,Standard,kurta,3XL,1,471.0,AHMEDABAD,Gujarat,False,30,4,not rejected,665.0
Merchant,Amazon.in,Standard,kurta,L,1,665.1355519636998,BENGALURU,KARNATAKA,False,30,4,rejected,814.4446666666668
Amazon,Amazon.in,Expedited,kurta,M,0,665.1355519636998,CHENGAMANAD,KERALA,False,30,4,rejected,536.8
Merchant,Amazon.in,Standard,kurta,S,1,399.0,HYDERABAD,TELANGANA,False,30,4,not rejected,487.64
Merchant,Amazon.in,Standard,Top,XXL,0,493.33,NAGPUR,MAHARASHTRA,False,30,4,rejected,886.16
Merchant,Amazon.in,Standard,Set,L,1,666.0,LONI KALBHOR,MAHARASHTRA,False,30,4,not rejected,673.82
Amazon,Amazon.in,Expedited,Set,M,0,665.1355519636998,KOLKATA,WEST BENGAL,False,30,4,rejected,781.7025
Merchant,Amazon.in,Standard,kurta,M,1,459.0,BENGALURU,KARNATAKA,False,30,4,not rejected,714.67
Amazon,Amazon.in,Expedited,kurta,XL,1,363.0,KOTHAGUDEM,TELANGANA,False,30,4,rejected,799.195
Merchant,Amazon.in,Standard,kurta,6XL,1,692.0,AHMEDABAD,Gujarat,False,30,4,not rejected,767.2110714285714
Merchant,Amazon.in,Standard,kurta,XL,1,363.0,CHENNAI,TAMIL NADU,False,30,4,not rejected,665.0
Merchant,Amazon.in,Standard,kurta,XS,1,666.0,PUNE,MAHARASHTRA,False,30,4,not rejected,665.0
Amazon,Amazon.in,Expedited,Set,XS,0,665.1355519636998,Mumbai,MAHARASHTRA,False,30,4,rejected,797.59
Merchant,Amazon.in,Standard,Set,L,1,696.0,HYDERABAD,TELANGANA,False,30,4,not rejected,486.26
Merchant,Amazon.in,Standard,kurta,XXL,1,568.0,MADURAI,TAMIL NADU,False,30,4,not rejected,784.919
Merchant,Amazon.in,Standard,Top,L,0,469.52,KALYAN,MAHARASHTRA,False,30,4,rejected,408.48
Merchant,Amazon.in,Standard,Set,3XL,1,680.0,DEVARAKONDA,TELANGANA,False,30,4,not rejected,438.4892857142857
Merchant,Amazon.in,Standard,kurta,L,1,399.0,DEHRADUN,UTTARAKHAND,False,30,4,not rejected,482.73
Merchant,Amazon.in,Standard,kurta,3XL,0,665.1355519636998,BENGALURU,KARNATAKA,False,30,4,rejected,793.43
Amazon,Amazon.in,Expedited,Set,L,0,665.1355519636998,AKBARPUR,UTTAR PRADESH,False,30,4,rejected,931.1816666666666
Merchant,Amazon.in,Standard,Western Dress,L,1,413.0,NAGPUR,MAHARASHTRA,False,30,4,not rejected,649.735
Merchant,Amazon.in,Standard,kurta,6XL,0,659.05,THANE,MAHARASHTRA,False,30,4,rejected,786.9
Merchant,Amazon.in,Standard,Top,S,1,518.0,"KOTPAD, Koraput",ODISHA,False,30,4,rejected,746.7233333333335
Amazon,Amazon.in,Expedited,kurta,XL,0,665.1355519636998,BHUBANESWAR,ODISHA,False,30,4,rejected,460.3973333333334
Merchant,Amazon.in,Standard,Set,M,1,1099.0,KOLKATA,WEST BENGAL,False,30,4,not rejected,722.6560000000001
Merchant,Amazon.in,Standard,kurta,3XL,1,534.0,MUMBAI,MAHARASHTRA,False,30,4,not rejected,729.34
Merchant,Amazon.in,Standard,Set,M,0,981.25,NEW DELHI,DELHI,False,30,4,rejected,530.13
Merchant,Amazon.in,Standard,Set,M,0,981.25,KOLKATA,WEST BENGAL,False,30,4,rejected,600.07
